,status_group
22878,non functional
57298,functional
7639,non functional
55306,non functional
12422,non functional
54871,non functional
16303,functional
53191,non functional
43291,non functional
28336,functional
31622,functional
24391,non functional
21416,non functional
44323,functional
33054,functional
59133,functional
28326,non functional
23408,functional
30209,non functional
16830,functional
22907,functional
18922,functional needs repair
9117,non functional
56110,functional
49286,non functional
4637,non functional
40734,non functional
38393,functional
15792,non functional
29970,functional
52710,functional
12642,functional
2889,functional
49550,non functional
17016,functional
9089,functional
42667,functional
176,functional
56895,functional
39433,functional
35753,non functional
6355,non functional
9939,non functional
26671,non functional
15163,functional
59345,functional needs repair
327,functional
29284,non functional
45592,functional
45180,functional
15346,non functional
40872,functional
27767,functional
51483,functional
42327,functional
43208,functional
34719,functional
46383,non functional
30594,functional needs repair
1769,functional
31736,functional
20405,non functional
31550,non functional
52930,functional
33983,functional
39460,non functional
57258,functional
8545,functional
8059,functional
22904,non functional
55061,non functional
40699,functional
29003,non functional
1747,non functional
8938,functional
44861,functional
7483,functional
48683,functional needs repair
32194,functional
13364,non functional
31906,functional
4991,functional
41614,non functional
23101,non functional
57400,functional
37559,functional
25197,non functional
41972,non functional
6351,functional
51372,non functional
35048,functional
44924,functional
16335,non functional
25630,functional
47331,non functional
10649,functional
40780,functional
50639,non functional
90,functional needs repair
27232,functional
44912,functional
34158,functional
28900,non functional
17124,functional
19007,non functional
44140,non functional
3275,functional
17897,non functional
58451,non functional
53344,functional
52383,functional needs repair
31359,non functional
24981,functional
2761,non functional
19325,non functional
36804,functional
3368,functional needs repair
50960,functional
20695,non functional
2414,functional needs repair
3749,functional
34758,functional
21329,functional
55461,functional
12440,functional
22291,non functional
57538,non functional
51855,functional
40835,functional
24136,non functional
55931,non functional
43046,non functional
55499,functional
46642,functional
20597,non functional
44958,functional
22140,functional
49134,functional
38140,non functional
48260,functional needs repair
13068,functional
55152,non functional
1021,functional
41926,non functional
27445,functional
20106,non functional
49910,functional
40347,functional
41295,functional
32197,functional
35950,functional
23785,non functional
50023,functional
8335,non functional
54375,non functional
16200,functional
48815,functional
44567,functional needs repair
4709,functional
14563,functional
21393,non functional
24453,functional
1327,non functional
14665,functional
22221,functional
50814,functional
38655,non functional
52861,functional
51217,functional
47535,functional
18231,non functional
36621,non functional
30531,functional
46278,functional
1505,non functional
33886,functional
17819,functional
24680,non functional
46538,non functional
8613,functional
27791,functional
8831,functional
39295,non functional
58923,functional
51193,non functional
39993,non functional
59277,functional
15371,functional
36950,functional
9527,functional
46859,functional needs repair
30563,non functional
35776,functional
4241,functional
33626,functional
55409,functional
3827,non functional
631,functional needs repair
23045,functional
45104,functional
18837,non functional
28080,non functional
27231,non functional
54394,functional
58803,non functional
14857,functional
24530,non functional
44423,non functional
30155,functional
18515,non functional
11704,non functional
25994,non functional
31225,functional
19962,functional
37022,non functional
43556,non functional
24356,functional needs repair
49537,functional
16026,functional
50641,functional
5587,non functional
25723,non functional
44066,functional
53374,functional
55962,non functional
18128,non functional
30478,non functional
42904,functional
25062,non functional
30461,functional
20196,functional
30032,functional
48820,functional
57648,non functional
16949,functional
17113,functional
52284,functional
1277,non functional
52287,functional
39195,functional
914,non functional
126,functional
31659,functional
54354,functional
14131,non functional
36351,non functional
6545,non functional
51426,functional
52123,functional
58438,functional
12347,non functional
18122,non functional
40842,functional
1553,functional
36939,non functional
28589,functional
39992,non functional
11489,non functional
50488,non functional
42747,non functional
17933,functional
35026,non functional
41644,functional
59237,non functional
14749,functional
34917,non functional
33002,functional
54663,functional
51538,non functional
5911,functional
54009,non functional
31197,non functional
25073,functional
57517,functional
3523,functional
22568,functional
38487,functional
33726,non functional
26091,non functional
9243,non functional
21326,functional
22170,non functional
42509,functional
14575,functional
20184,functional
31417,non functional
3274,functional
2906,functional
5497,functional
38712,functional
22491,functional
23187,non functional
19877,functional
58607,functional
38208,functional
43395,non functional
43198,functional
57267,functional
12070,functional
26198,non functional
29594,functional
33975,non functional
53455,functional
28578,functional
6956,non functional
41529,non functional
35914,non functional
44054,non functional
34350,functional
29355,functional
22733,functional
8044,functional
47652,functional
48027,non functional
18987,non functional
27920,functional
26424,non functional
2367,non functional
47645,non functional
24683,functional
35020,functional
19953,functional
50387,non functional
8462,functional
54397,functional needs repair
31503,non functional
7878,non functional
40206,non functional
147,functional
57195,functional
26331,functional
25247,functional
50491,functional
42473,functional
28990,functional
31762,non functional
45477,functional
36633,functional needs repair
35971,functional
29101,functional
9137,functional
32764,functional
19664,functional
13617,non functional
41259,functional
43175,non functional
34016,non functional
54347,non functional
14151,non functional
55637,non functional
42398,functional
59064,functional
32340,functional
28992,non functional
47429,functional
456,non functional
24044,non functional
1244,functional
28029,functional
1562,functional
995,functional
54626,non functional
45326,functional needs repair
40904,functional
30371,functional
38951,functional
44631,functional
56830,functional
26127,non functional
28884,non functional
46489,non functional
9914,non functional
18901,functional
39102,functional
52349,non functional
12395,non functional
4687,non functional
5449,functional
27547,non functional
12097,non functional
32366,non functional
6442,non functional
30098,functional
39613,functional
2714,functional
16607,functional
22398,functional
33149,functional
38368,non functional
8257,non functional
12336,functional
1687,functional
37443,non functional
8687,non functional
55020,functional
58159,functional
37885,non functional
5077,functional
3265,non functional
19025,functional
50905,functional
45321,functional
48888,functional
23776,functional
7470,functional
25721,functional
42226,functional
58959,non functional
44413,functional
8465,non functional
37377,non functional
46828,functional
30247,functional
4204,functional
15509,non functional
58534,non functional
35018,non functional
24014,non functional
36689,functional
25534,non functional
40979,functional
28227,functional
17322,non functional
3139,non functional
7181,functional
14759,functional
40007,functional
11226,functional
38473,non functional
44792,functional
11222,functional
58613,functional needs repair
47206,functional
41761,functional
27421,functional
38952,functional
10723,functional
24614,functional needs repair
8289,non functional
6209,functional
9601,non functional
46349,non functional
43823,functional
44282,functional
26400,functional
37262,functional needs repair
2696,non functional
25812,non functional
48464,non functional
3030,non functional
1152,functional
21766,non functional
14400,non functional
49534,functional
36936,non functional
22507,non functional
42799,functional
44795,functional
51333,functional
40906,functional
51605,functional needs repair
14597,functional
24016,functional
14034,non functional
50812,non functional
26563,non functional
37416,functional
4240,non functional
37737,functional
23331,functional
47809,functional
22915,functional
29219,functional
58632,functional
30836,non functional
55697,functional
37555,functional
3758,functional
7258,functional
42229,non functional
37701,non functional
52292,non functional
30020,non functional
2363,functional
5849,functional
3508,non functional
25064,functional needs repair
42584,functional
25078,functional
44372,functional
22457,non functional
53490,non functional
16079,non functional
48706,functional
55104,functional
23842,functional
27195,functional
9298,functional
49829,functional
35281,functional
33029,non functional
23911,non functional
55403,non functional
58598,non functional
50208,functional
7381,functional
7934,non functional
44053,functional
20424,functional needs repair
55606,functional
50480,non functional
25134,non functional
56512,functional
54355,functional
11874,functional
15575,functional
31019,functional
1504,non functional
39511,functional
15864,non functional
5688,functional
4273,non functional
34733,non functional
36041,functional
25709,functional
22483,non functional
5882,functional
15326,functional
46979,functional
24667,non functional
23567,functional needs repair
39616,functional needs repair
4159,functional
1922,functional
25627,non functional
16150,functional
25806,functional
50325,non functional
49130,functional
868,non functional
14800,functional
17212,functional
42913,functional
52089,non functional
55748,functional
45685,functional
6156,functional
20114,non functional
15169,functional
34461,functional
58693,functional needs repair
44681,functional
9786,functional
49306,functional
20590,functional
25006,functional
38064,non functional
5623,functional
39709,non functional
31694,functional
11522,functional
55580,functional
37986,non functional
29225,functional
42073,functional
19152,functional
7948,functional needs repair
26085,functional needs repair
23019,functional
27317,non functional
33979,functional
19711,non functional
15669,functional
31896,non functional
5179,non functional
53423,functional
30842,functional needs repair
29534,functional
20130,functional
9980,functional
10802,functional
42066,non functional
8882,functional
23928,non functional
15581,functional
29775,non functional
52962,functional
40935,functional
15466,functional
3360,functional
38713,non functional
46198,functional
3211,functional
38041,non functional
42371,functional
7734,functional
40280,non functional
206,functional
41902,functional
6268,functional
7478,functional
40008,functional
37625,functional
16940,functional
22588,non functional
58600,non functional
21809,non functional
10794,non functional
50024,functional
3711,functional
43799,functional
4682,non functional
16529,non functional
12564,functional
8051,non functional
49772,functional
45805,functional
47015,non functional
6517,functional
7717,functional
54846,functional
43766,non functional
10056,non functional
43300,functional
43892,non functional
56209,functional
14073,functional
29458,non functional
22757,non functional
16937,functional
57613,non functional
53388,functional
56196,non functional
16653,non functional
9063,non functional
50284,functional needs repair
47196,non functional
4487,functional
30121,functional
55264,functional
34831,functional
56161,functional
51633,non functional
44099,functional needs repair
38895,non functional
1627,non functional
50512,non functional
500,functional
38879,functional needs repair
10764,functional
56220,functional needs repair
35664,functional
18018,functional
18264,non functional
13384,functional needs repair
54623,non functional
6225,functional
31706,functional
25429,functional
23410,functional
18189,functional
2102,non functional
20153,non functional
1360,functional
697,functional
22858,functional
5867,functional
28571,functional
5635,non functional
3190,non functional
47354,functional
31227,functional needs repair
38109,non functional
44410,functional
23845,non functional
38827,non functional
33156,non functional
7884,non functional
32616,non functional
48750,functional
18433,functional
13980,non functional
13282,functional
41213,non functional
18615,functional
13656,non functional
57901,functional
21433,functional
42190,functional
51384,functional
20617,functional
26074,functional
18986,functional
21889,non functional
33097,functional
54093,non functional
11306,functional
27461,non functional
47023,functional
33160,functional
5323,non functional
24072,functional
48964,non functional
25877,non functional
27916,non functional
26468,non functional
2142,non functional
55320,functional
35272,functional
3551,functional
44457,functional
5988,non functional
44461,non functional
4407,non functional
43224,non functional
17025,non functional
14392,non functional
27699,non functional
28280,non functional
11781,non functional
51410,functional needs repair
39212,functional
34229,non functional
1453,non functional
30416,functional
52334,functional
58296,non functional
39637,functional
22287,functional
5708,non functional
14338,functional
19126,functional
38760,functional
5759,functional
22039,functional
57907,functional
16889,non functional
57931,functional needs repair
36981,functional needs repair
53334,functional
28585,functional
22632,non functional
23339,functional
2686,non functional
24094,non functional
11039,functional
29271,functional
8841,non functional
57946,non functional
4386,non functional
43261,functional
15200,functional
17107,functional needs repair
33228,non functional
57683,non functional
18297,functional
55964,non functional
27712,functional
1118,functional
2491,non functional
53811,non functional
28887,non functional
16817,non functional
31833,non functional
58334,non functional
20591,non functional
40358,non functional
19138,functional
28462,functional
15620,non functional
6125,non functional
11979,functional
32383,non functional
23283,functional
47529,functional needs repair
37987,non functional
21094,non functional
10609,functional
18361,non functional
2772,non functional
25395,non functional
44583,non functional
30732,non functional
24812,functional
19284,non functional
35182,functional
20496,non functional
10250,functional
30928,non functional
55300,functional
2392,functional
45034,functional
40394,functional
29435,non functional
24488,non functional
43890,non functional
8287,functional needs repair
41345,functional
5579,non functional
15362,functional
6997,functional
34301,functional
34396,non functional
25372,functional
20879,functional needs repair
17799,non functional
5136,functional
20757,non functional
33294,functional
51624,functional
29719,non functional
8345,functional
50111,functional
54808,non functional
21510,functional
15845,non functional
21316,non functional
53638,non functional
36469,non functional
50492,non functional
35886,non functional
41929,functional
4533,non functional
44238,functional
2589,non functional
22060,functional
39023,functional
5202,functional needs repair
21948,functional
57235,functional
13102,functional
59081,non functional
24619,functional
47184,functional
41687,non functional
47943,functional
30933,functional
38753,non functional
27750,functional
4092,non functional
5053,non functional
11210,non functional
21014,non functional
35637,non functional
26489,non functional
49993,non functional
53982,functional
41946,functional
32135,non functional
43154,functional
37721,non functional
53538,functional needs repair
3607,functional
28223,functional
44330,functional needs repair
52379,non functional
1991,functional needs repair
42680,functional
36690,functional
40442,non functional
30312,non functional
37122,functional
48838,functional
44799,functional
56071,functional
40427,functional
57855,non functional
26160,functional
51130,functional
32311,functional
37078,functional
22851,functional
26512,functional
36503,functional
14068,functional
6851,functional
47325,functional needs repair
52826,non functional
28655,functional
33904,functional
935,functional
33571,non functional
16391,functional
53876,functional
48123,non functional
36128,functional
55649,non functional
12822,non functional
41534,non functional
5114,non functional
20955,functional
38722,functional needs repair
32736,functional
24728,non functional
17200,functional
17569,functional
30746,functional
24374,functional
34013,non functional
56536,non functional
11466,non functional
36926,functional
35584,functional
18422,functional needs repair
47868,functional
31553,functional
17912,non functional
15725,functional
49670,functional
2960,non functional
22415,functional
12459,functional
4301,functional needs repair
8084,functional
3691,functional needs repair
25097,functional
29702,functional
41594,functional
5352,non functional
12183,functional
32750,non functional
42425,functional
7385,non functional
24726,non functional
43338,functional
54911,functional
52205,non functional
46758,non functional
44550,non functional
15230,functional
58492,functional
53394,functional
45868,functional needs repair
2179,non functional
54888,functional
44229,functional
11934,functional
48650,functional
42557,non functional
38282,functional
47344,functional
22730,functional
30483,functional
26785,non functional
12466,functional
25118,functional needs repair
39746,functional
36539,functional
55903,functional
44445,functional
38568,non functional
18807,functional
38771,functional
5798,functional
29512,functional
36301,non functional
56047,functional
17142,functional
28472,functional
29,functional
58652,non functional
54893,non functional
1403,functional
26366,non functional
52835,functional needs repair
33990,non functional
10855,non functional
56498,non functional
39332,non functional
35656,non functional
28796,non functional
53906,non functional
50502,non functional
37190,non functional
22188,functional
40445,non functional
16758,non functional
20219,functional
23781,functional
48915,functional
44442,functional
37935,functional
28454,non functional
34546,functional
24383,functional
2291,functional
31025,functional
55422,functional
58894,non functional
17293,functional
28823,functional
6778,functional
25202,functional
6626,functional
50425,functional
3805,non functional
28577,functional
13798,non functional
50920,non functional
37285,non functional
38618,functional
5490,non functional
5457,non functional
8899,functional
25933,functional
3719,functional
7843,non functional
34908,functional needs repair
9813,functional
6339,non functional
17690,functional
24030,functional
18724,non functional
47831,functional
51891,non functional
8746,non functional
27542,non functional
19235,non functional
33025,functional
52522,non functional
50471,functional needs repair
21515,functional
14982,non functional
58985,functional
7817,non functional
3690,functional
40357,functional
46934,functional
5603,functional
59000,non functional
17929,non functional
28104,functional
8220,functional needs repair
15164,non functional
112,functional
22702,non functional
58014,functional
58831,functional
28008,non functional
38242,non functional
27141,functional needs repair
1100,functional
32432,functional
18236,non functional
24465,non functional
52548,non functional
45220,functional
7044,functional
8397,functional
34692,functional
19819,non functional
24250,functional
58352,functional
49974,functional
3240,functional
24561,functional
40849,non functional
41923,functional
15824,functional
4265,functional
21835,non functional
11604,functional
30361,functional
1579,functional
46194,functional
55294,functional
58860,functional
53926,non functional
44384,functional needs repair
42908,non functional
52154,non functional
5615,functional
27023,non functional
29972,non functional
40447,functional
15486,functional
57661,non functional
39775,functional
43921,functional
28419,non functional
1062,functional
47741,functional
39423,functional needs repair
22077,functional
13988,non functional
9965,functional
15129,functional
4551,non functional
31030,functional
21135,functional
53487,functional
36306,functional
58491,functional
2052,functional needs repair
32343,functional
19388,non functional
39570,non functional
27890,non functional
22192,functional
16762,non functional
33436,functional
12453,functional
23497,non functional
2045,functional
32715,non functional
45233,functional
31340,non functional
4284,functional
13193,functional needs repair
47614,non functional
47466,non functional
47085,non functional
9306,functional
42775,functional
10664,non functional
35998,functional
47271,functional
11199,non functional
30163,functional
32926,functional
50235,functional
15205,non functional
7375,non functional
49994,non functional
1717,non functional
22898,functional
5909,functional needs repair
53632,functional
42578,functional
37745,non functional
3908,functional
47491,functional
43123,functional
24050,functional
13255,functional
15035,functional
8238,non functional
23686,non functional
4041,non functional
16824,non functional
30649,functional
58305,functional
51404,functional
2195,non functional
50927,functional
31843,non functional
12166,non functional
25642,functional
524,functional
40658,functional
58325,non functional
6480,functional
28193,functional
32020,non functional
1221,non functional
17597,functional
16248,non functional
35072,non functional
13013,non functional
23630,non functional
6736,functional
34974,functional needs repair
44262,non functional
30908,functional
644,non functional
49691,non functional
50932,functional
43717,non functional
50833,functional
18806,functional
25251,non functional
21626,non functional
11230,functional
56442,non functional
38215,functional
50287,functional needs repair
15847,functional
40621,functional
2140,non functional
57166,non functional
44786,functional
38454,functional
41670,functional
56409,functional
30790,non functional
44772,non functional
54962,functional
23523,non functional
20038,functional
30658,functional
23579,functional
21860,functional needs repair
14673,functional
1267,functional
1123,non functional
7214,non functional
4544,functional
7654,functional
35778,functional
57078,functional needs repair
46051,non functional
55383,functional
2228,functional
11700,functional
45653,functional
55645,non functional
29164,non functional
21740,non functional
7233,non functional
53923,non functional
29783,non functional
31008,functional
45817,functional
23834,non functional
761,functional
55882,non functional
47323,functional
25824,functional
53304,functional
27598,non functional
9830,non functional
43196,functional
57075,functional
33964,non functional
5743,functional
3946,non functional
16435,functional
19191,functional
45237,non functional
58719,functional
17406,functional needs repair
55737,functional
4185,functional
31297,non functional
29495,functional needs repair
17843,functional
49654,non functional
45539,functional
4328,functional
19070,functional
49307,non functional
34491,functional
1809,functional
19624,functional
57746,non functional
16268,functional
49433,functional
58323,non functional
39131,non functional
56605,non functional
22262,functional needs repair
7369,non functional
58970,functional
3179,non functional
50673,functional
45793,non functional
40664,non functional
46282,functional
39143,functional needs repair
14326,functional
49964,non functional
14166,functional needs repair
44916,functional
1132,functional
21805,non functional
19901,non functional
46844,functional
47240,non functional
47754,non functional
28774,functional
50975,non functional
13099,non functional
23238,functional
11893,functional
54703,non functional
5312,functional
45465,functional
19341,functional
24752,functional needs repair
33483,non functional
57914,non functional
45971,functional
49567,functional
14861,functional
17238,functional
18720,functional
2979,functional needs repair
34520,functional
24028,non functional
14821,functional needs repair
44743,non functional
44270,functional
59235,functional
48098,functional
2368,functional
48056,non functional
1065,functional
8837,non functional
49518,non functional
47869,functional
58182,functional
8887,non functional
11624,non functional
10836,functional
48255,functional
23042,functional
38458,non functional
5310,non functional
45342,functional
52746,functional needs repair
38585,functional
48283,functional
30949,functional
41440,functional
13164,functional
5435,non functional
14081,functional needs repair
53017,functional
53433,non functional
17498,functional
39286,functional
9081,functional
4463,functional
1718,functional
40044,functional
9837,non functional
6918,non functional
5443,non functional
14095,non functional
20782,non functional
55344,functional
22969,functional
22668,functional
49238,functional
16344,functional
28258,functional
15830,non functional
7675,functional
57395,functional
22455,functional
32071,functional
4335,non functional
38619,functional
2156,functional
42012,non functional
8629,non functional
11278,functional
13112,functional needs repair
30017,non functional
34616,non functional
38617,functional needs repair
41661,functional
19557,functional
6692,non functional
40021,non functional
35228,functional
37872,functional
1839,functional
12680,functional
34895,functional
57323,functional
17413,functional
6131,functional
17872,functional
6581,functional
12753,functional
27131,non functional
1772,functional needs repair
29472,functional needs repair
56632,functional
43751,non functional
26777,non functional
45368,functional
29833,non functional
49903,functional
23182,non functional
49578,functional needs repair
16689,non functional
54787,non functional
26089,functional needs repair
5894,functional
7247,non functional
33771,functional
12508,non functional
39526,functional
7683,functional
31180,non functional
23103,functional
52179,functional
34399,functional
19917,non functional
3042,functional
39401,functional
1102,non functional
47533,functional needs repair
23526,functional
33120,functional
11929,functional
42462,functional
4559,functional needs repair
54838,functional
25191,non functional
30248,functional
55561,functional
42862,functional
15382,functional
39649,non functional
16351,functional
30377,non functional
23582,non functional
54213,functional
489,non functional
17195,functional
35039,non functional
32158,non functional
48245,non functional
53537,functional
22685,functional
23863,functional
42582,functional
5251,non functional
4112,non functional
8520,non functional
27288,functional
51583,functional
44231,functional
32157,non functional
36834,functional
51022,functional
9071,functional needs repair
23177,functional
41144,functional
27759,functional
26660,functional
39549,functional
36773,functional needs repair
49603,non functional
29178,non functional
45495,functional
5779,non functional
21891,non functional
8010,non functional
21772,functional
47269,functional
36655,non functional
40804,functional
23736,functional
482,functional needs repair
1415,functional
55672,functional
4391,functional
42150,non functional
12966,functional
58895,functional needs repair
21640,functional
55904,non functional
22138,functional
29635,functional
36705,functional
17756,functional
4527,non functional
45305,functional needs repair
3308,functional
58179,non functional
45045,non functional
59167,functional
53309,functional
39167,functional
8544,functional
3474,functional
47437,non functional
14893,non functional
37171,functional
34220,functional
32070,non functional
34191,functional
45346,functional
44144,functional
40284,functional
14639,functional
7,non functional
56702,non functional
34213,non functional
49033,non functional
14070,functional
54138,functional
27536,functional
7685,non functional
35563,non functional
7554,functional needs repair
51804,functional
3993,functional
58386,functional needs repair
13490,functional
10800,non functional
49131,functional
47066,non functional
47213,non functional
28436,functional
43964,functional
41538,non functional
43851,functional
14178,functional
24021,non functional
19006,non functional
7322,functional
1645,functional
55127,non functional
38794,functional
19693,functional
6104,functional
52636,functional
34617,non functional
49908,non functional
29158,functional
58688,functional
28549,functional
2795,non functional
30593,functional
29782,functional
723,non functional
46802,functional
44712,non functional
16485,functional
49863,non functional
15313,functional
12856,non functional
2305,non functional
46861,functional
30394,functional
10666,functional
51073,functional
6129,non functional
35087,functional
38053,functional
32873,functional
17656,functional
13143,functional
53226,functional
43044,functional
52840,non functional
10052,non functional
9495,functional
13485,non functional
25912,functional
27771,non functional
30488,functional
29501,functional
48960,non functional
45827,functional
49839,non functional
51065,non functional
4983,functional needs repair
28633,functional
59131,non functional
47361,functional
47256,functional
42753,functional
49869,functional
21304,non functional
34440,functional
16407,functional
19441,non functional
57685,functional
52776,non functional
1871,functional
23589,functional
17450,non functional
17815,functional
42364,non functional
43349,non functional
7727,functional
52752,functional
2151,non functional
2823,non functional
53904,functional
58769,functional
23849,non functional
40093,functional
2974,functional
39978,functional
8895,functional
49437,non functional
22924,functional
12445,functional needs repair
9400,functional
13319,functional needs repair
45130,functional
14239,non functional
36003,non functional
28204,non functional
15248,non functional
16626,functional
40058,functional
56821,functional
42869,functional
4429,functional
2065,non functional
26657,functional needs repair
836,functional
3703,non functional
44090,functional
4605,non functional
9236,functional
3175,functional needs repair
24187,functional
40290,functional
54826,functional needs repair
19079,functional
26301,non functional
10512,non functional
30302,non functional
42093,non functional
48998,functional
23871,non functional
48165,functional
16450,non functional
18506,functional
45668,functional needs repair
15318,functional
51772,functional
31305,functional
7116,functional
21201,non functional
28676,non functional
12206,functional
24557,functional
1451,non functional
26769,non functional
12640,non functional
17651,functional needs repair
42225,functional
48886,non functional
54674,functional
12044,functional
12094,functional needs repair
53458,functional
13935,functional
47227,functional
8822,functional
27883,non functional
1465,functional
20034,functional
55450,non functional
56453,non functional
57475,non functional
31376,non functional
50172,non functional
42255,non functional
56710,functional
32728,functional
25384,non functional
5193,non functional
53358,functional
21497,functional needs repair
56645,functional
45025,functional
48644,non functional
50824,functional
43238,functional
56430,non functional
42361,functional
22251,non functional
5316,functional
39757,functional needs repair
8852,functional
6551,non functional
23333,non functional
35719,non functional
36441,non functional
32327,non functional
26781,functional
55493,functional
18230,functional
16510,non functional
4128,non functional
50241,non functional
25572,non functional
19403,functional
36558,non functional
34075,functional
39544,functional
37991,functional
54294,non functional
53715,functional
34737,non functional
39055,non functional
19298,non functional
46117,functional
40301,functional
56380,functional
10921,non functional
42918,functional
1607,non functional
30258,functional
596,functional needs repair
37862,non functional
17564,functional
42328,functional
44363,non functional
40954,non functional
13908,functional
49412,functional
56130,non functional
23950,non functional
52610,functional
17069,non functional
24797,non functional
46711,non functional
25232,non functional
41153,functional
58204,non functional
38463,non functional
36777,functional needs repair
8749,functional
22596,functional
50630,non functional
39283,functional
7888,functional
30506,non functional
58168,functional
25844,functional
24157,functional
27199,functional
25132,functional
6368,functional
44930,functional
5482,functional
20272,functional
24946,non functional
47942,non functional
28871,functional
55058,functional
28334,non functional
54820,functional
45924,functional
7673,functional
38912,non functional
5129,non functional
34803,functional
13802,non functional
5276,functional
57021,functional
54177,non functional
54783,functional
19807,non functional
6081,non functional
22204,functional needs repair
50075,non functional
54897,functional
44059,functional
15553,non functional
10556,non functional
27471,functional
9911,functional
48852,functional
35401,non functional
7079,functional
19862,functional
55139,non functional
7691,non functional
34295,non functional
858,functional
32522,non functional
56120,functional
16277,functional needs repair
33338,functional
20381,functional
5875,functional
41816,functional
11439,functional
57849,functional needs repair
51137,functional
31927,functional
46087,non functional
52732,functional
47964,functional
19412,functional
13276,non functional
55827,functional
21061,functional
3195,functional needs repair
13575,functional
46244,functional
27406,functional
7406,functional
21368,non functional
37739,functional needs repair
42160,functional
30369,functional
36819,functional
28809,non functional
7064,functional needs repair
42147,functional needs repair
29683,non functional
17495,functional
38571,functional
2661,functional
52019,non functional
27415,functional needs repair
42806,functional
9946,non functional
31123,non functional
29223,functional
12656,non functional
32852,non functional
3440,functional
7249,functional
23609,functional
15832,functional
31085,functional
28487,non functional
45649,functional
46510,functional
51588,functional
36615,functional
5080,non functional
18555,functional
5219,functional
38987,non functional
33485,functional
18369,functional
278,functional
19537,functional
40820,non functional
20439,functional
25385,functional
1920,functional
54504,functional
56280,non functional
13108,non functional
40019,functional
27299,functional
9303,non functional
49912,functional
31510,functional
25146,functional
34782,functional
21240,functional
54163,functional
46236,non functional
44320,non functional
58458,functional
52050,non functional
47060,functional
9705,non functional
46457,non functional
18856,functional
37584,functional needs repair
47648,functional
21134,non functional
57312,functional
40348,non functional
40544,functional
30974,functional
30181,functional
40709,functional
30137,functional
58149,non functional
32867,non functional
53205,functional
36493,non functional
48771,non functional
19615,functional
27708,non functional
1159,functional
8637,functional needs repair
15677,functional
50649,functional
48217,non functional
45878,non functional
43244,non functional
27790,non functional
51756,functional
41010,functional needs repair
21110,non functional
18829,functional
55615,functional
15818,non functional
10176,non functional
31117,non functional
3441,functional
7435,functional
2451,functional
59197,functional
17469,non functional
31169,functional
49055,functional
16300,non functional
7361,non functional
4642,non functional
11098,non functional
3961,functional
56148,functional
32933,functional needs repair
22554,functional needs repair
11388,functional
38285,functional
5379,non functional
35620,non functional
3613,functional needs repair
21494,non functional
37880,functional
44033,functional needs repair
38244,non functional
51584,non functional
2667,non functional
24755,functional needs repair
39406,functional
57682,functional
56725,functional
13502,non functional
18159,non functional
51500,functional
5995,functional
39705,non functional
3165,non functional
46640,functional
2118,functional
3492,functional
45186,functional
26231,non functional
4493,functional
12865,functional
39627,functional
20461,functional
9944,functional
14896,functional
55109,non functional
31959,non functional
11275,functional
42710,functional
55107,functional
9346,functional
9376,functional needs repair
46230,functional needs repair
15825,non functional
10190,non functional
58288,functional
45572,non functional
24295,functional
21901,non functional
32134,functional
13777,functional
35237,functional
57338,non functional
35081,functional needs repair
48908,functional
17525,functional
22293,functional
52259,non functional
59325,functional
40871,functional
24588,functional
59190,functional
26720,non functional
32631,non functional
38169,non functional
43293,functional
46429,functional
25117,functional
51878,non functional
24511,non functional
54132,functional
6943,non functional
1738,non functional
37302,non functional
42374,functional
38417,functional
18235,functional
34579,non functional
41853,non functional
8921,functional needs repair
34967,functional
19021,functional
23359,functional
56427,functional
46644,non functional
43559,functional
49939,functional
5070,functional
8012,functional
14121,functional
39252,non functional
36333,functional
21363,non functional
7711,functional
32264,functional
10551,functional
32749,non functional
25173,functional needs repair
4621,functional
3737,functional
6809,non functional
50307,functional
59344,functional
39263,functional needs repair
10129,non functional
32294,functional
52474,functional
33490,non functional
26459,functional needs repair
38294,functional
35856,non functional
23414,functional
47277,functional
57357,non functional
55449,non functional
50539,non functional
14609,functional
20804,functional needs repair
44754,functional
50401,functional
57941,functional
42791,non functional
42182,functional
30087,non functional
35901,functional
27833,non functional
52428,functional needs repair
14508,functional
5772,functional
33430,functional
59195,functional
4224,functional
44804,functional
3481,functional
40559,functional
30838,functional
38389,non functional
31295,functional
26750,non functional
28881,non functional
55972,functional
9839,functional
9956,functional
48609,functional
33163,non functional
57875,functional
41156,non functional
9831,functional
22423,functional
24897,functional
26341,functional
6616,functional
34788,functional
40708,non functional
57961,functional
16831,functional
21310,non functional
54864,non functional
51462,non functional
32440,functional
39958,functional
57460,non functional
20876,functional
45747,functional
58637,functional
43658,functional
3632,functional
5453,non functional
41553,non functional
41384,non functional
40201,non functional
4922,non functional
35837,functional
38502,functional
16298,functional
21155,functional
21272,non functional
7310,non functional
21653,functional
57899,non functional
18905,functional
24915,non functional
55274,non functional
33909,functional
45246,non functional
38665,functional
45196,non functional
17698,functional
3198,non functional
22118,functional
6543,functional
46125,functional
11557,non functional
50461,functional
26662,functional
13878,non functional
33505,non functional
13239,functional
44071,functional
23584,functional
8553,functional
54117,functional needs repair
10149,functional
56302,functional
44865,functional
7800,functional needs repair
51110,non functional
11803,functional
13037,functional
38750,non functional
27103,functional
56681,functional
30633,functional
28799,non functional
35114,non functional
36033,non functional
26925,functional
47303,non functional
9664,functional
12193,functional
22994,functional
31139,functional
